id_cluster,judul,ringkasan,sektor_ai,risiko_ai,sektor_benar,risiko_benar
2589,Pengeroyokan Maut di Tempat Biliar Jakbar: Korban Sengaja Dilempar dari Lantai 2,"Pengeroyokan maut terjadi di tempat biliar Weston, Grogol, Jakarta Barat, pada 10 Mei 2026. Korban, Diko Milandika (28), sengaja dilempar dari lantai 2 oleh pelaku karena motif balas dendam. Polisi telah mengamankan 3 pelaku utama dan masih memburu 5 pelaku lainnya, termasuk pelaku utama yang melemp",Ekonomi & bisnis;Hukum & keamanan;Sosial & masyarakat,Tinggi,,
252,Italia Siapkan Kapal Penyapu Ranjau untuk Selat Hormuz,Pemerintah Italia mengumumkan rencana untuk mengirim dua kapal penyapu ranjau ke Selat Hormuz sebagai bagian dari misi internasional jika tercapai gencatan senjata permanen di kawasan tersebut. Italia juga akan menggunakan skuad U-21 untuk pertandingan persahabatan melawan Luksemburg dan Yunani. Int,Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
2571,Pemerintah Siap Mengurangi Anggaran Program Makan Bergizi Gratis,Pemerintah siap mengurangi anggaran Program Makan Bergizi Gratis (MBG) karena adanya evaluasi pelaksanaan program tersebut. Menteri Sekretaris Negara Prasetyo Hadi mengatakan bahwa akan ada pengurangan kebutuhan anggaran dari program MBG. Pemerintah juga melakukan penataan ulang atau refocusing pene,Ekonomi & bisnis;Politik & pemerintahan;Sosial & masyarakat,Tinggi,,
2565,"Pemadaman Listrik di Jawa Akibat Gangguan Teknis, Bahlil Bantah Kelangkaan Batu Bara","Pemadaman listrik bergilir terjadi di beberapa wilayah di Jawa, termasuk Jakarta dan Bandung, karena gangguan teknis pada mesin pembangkit. Menteri Energi dan Sumber Daya Mineral Bahlil Lahadalia membantah bahwa kelangkaan batu bara menyebabkan pemadaman listrik. Ia mengatakan bahwa pemerintah telah",Ekonomi & bisnis;Energi & lingkungan;Politik & pemerintahan,Tinggi,,
2584,Timnas U-19 Indonesia Imbang Lawan Australia di Babak Pertama Piala AFF U-19 2026,"Timnas U-19 Indonesia bermain imbang 0-0 melawan Australia di babak pertama semifinal Piala AFF U-19 2026. Pertandingan berlangsung alot di Stadion Utama Sumatera Utara, Deli Serdang, Kamis (11/6/2026). Timnas U-19 Indonesia bermain solid dalam bertahan, sementara Australia coba menekan dengan tekan",Ekonomi & bisnis;Olahraga & hiburan;Politik & pemerintahan,Tinggi,,
2526,"Perang Iran-Amerika Meluas, Drone Hantam Bahrain dan Rusia","Perang Iran-Amerika meluas ke Bahrain dan Rusia. Drone Iran menghantam apartemen di Rusia dan rumah di Bahrain, menyebabkan korban. Sementara itu, Amerika Serikat menembak jatuh dua drone Iran di Selat Hormuz.",Ekonomi & bisnis;Energi & lingkungan;Hukum & keamanan,Tinggi,,
2104,Veda Ega Pratama Menghadapi Tantangan di Moto3 Hungaria 2026,Veda Ega Pratama akan memulai balapan Moto3 Hungaria 2026 dari posisi kesembilan. Ia harus menjalani hukuman long lap penalty dan berjuang untuk memperbaiki posisi. Veda Ega saat ini bertengger di posisi ketiga klasemen Moto3 2026.,Ekonomi & bisnis;Olahraga & hiburan;Teknologi,Tinggi,,
2174,Indonesia U-19 Menghadapi Tantangan Besar di Piala AFF U-19 2026,Timnas Indonesia U-19 akan menghadapi Vietnam dalam laga penentuan Grup A Piala AFF U-19 2026. Vietnam memuncaki klasemen sementara dan hanya memerlukan hasil imbang untuk lolos ke babak semifinal. Indonesia wajib memenangkan pertandingan untuk mengamankan posisi juara grup dan menghindari risiko me,Ekonomi & bisnis;Hubungan internasional;Olahraga & hiburan,Tinggi,,
2534,Gilberto Mora Mencatatkan Sejarah di Piala Dunia 2026,"Gilberto Mora, pemain termuda Meksiko, mencatatkan sejarah di Piala Dunia 2026 dengan menjadi pemain termuda yang bermain di pertandingan pembuka. Ia berusia 17 tahun 240 hari saat melakoni debutnya di turnamen. Meksiko berhasil mengalahkan Afrika Selatan 2-0 di Stadion Azteca, Mexico City, Jumat (1",Ekonomi & bisnis;Hubungan internasional;Olahraga & hiburan,Tinggi,,
162,Pemerintah Indonesia Berkomitmen Meningkatkan Kualitas Hidup Masyarakat,"Pemerintah Indonesia terus berkomitmen meningkatkan kualitas hidup masyarakat melalui berbagai program, seperti Program Makan Bergizi Gratis (MBG) yang telah mencapai 61,9 juta penerima, dan pengembangan klasterisasi usaha berbasis potensi lokal di Kabupaten Ngada, Nusa Tenggara Timur. Selain itu, p",Ekonomi & bisnis;Kesehatan;Sosial & masyarakat,Rendah,,
1344,Prabowo Subianto Membangun Sekolah Rakyat untuk Masyarakat Kurang Berdaya,"Presiden Prabowo Subianto membuka Sekolah Rakyat untuk membantu masyarakat kurang berdaya. Sekolah ini menawarkan kesempatan pendidikan bagi anak-anak dari keluarga miskin. Prabowo juga mengunjungi Sekolah Rakyat di Tabanan, Bali, dan mendengarkan aspirasi siswa. Siswa-siswa tersebut berharap dapat ",Pendidikan;Politik & pemerintahan;Sosial & masyarakat,Tinggi,,
173,Indonesia Siap Hadapi Libur Panjang dengan Kesiapan Operasional yang Optimal,"PT. Jasamarga Transjawa Tol memastikan kesiapan layanan operasional di seluruh ruas tol yang dikelola menjelang periode libur panjang Kenaikan Isa Almasih tahun 2026. Sementara itu, Badan Riset dan Inovasi Nasional (BRIN) mengembangkan inovasi Rubber Crossing Plate (RCP), pelat perlintasan kereta ap",Ekonomi & bisnis;Sosial & masyarakat;Teknologi,Tinggi,,
338,Polisi Bongkar Penyelundupan Merkuri Ilegal dan Produksi Narkoba,"Polisi mengungkap penyelundupan 1 ton merkuri ilegal ke Filipina yang berasal dari tambang ilegal di Gunung Botak, Ambon. Selain itu, polisi juga menangkap seorang Warga Negara Asing (WNA) China yang memproduksi 824 buah narkoba jenis etomidate siap edar di Jakarta Utara. Penyelundupan merkuri ilega",Ekonomi & bisnis;Energi & lingkungan;Hukum & keamanan,Tinggi,,
464,"Peristiwa Terkait Olahraga, Kekerasan, dan Kematian","Peristiwa terkait olahraga, kekerasan, dan kematian terjadi di berbagai tempat. Robert Lewandowski mengakhiri perjalanannya bersama Barcelona, sementara Lamine Yamal menyampaikan pesan emosional untuknya. Di sisi lain, kasus kekerasan seksual terjadi di NTB, dan seorang mahasiswi Unhas ditemukan tew",Hukum & keamanan;Olahraga & hiburan;Sosial & masyarakat,Tinggi,,
2641,Indonesia Lolos ke Semifinal Australian Open 2026,"Tunggal putra Indonesia Alwi Farhan melaju ke semifinal Australian Open 2026 setelah menaklukkan Lee Chia Hao dari Taiwan. Alwi mengungkapkan kenyamanan yang dirasakannya selama berada di Sydney menjadi salah satu faktor yang membantu performanya. Selain itu, ganda putri Indonesia Febriana Dwipuji K",Ekonomi & bisnis;Olahraga & hiburan;Sosial & masyarakat,Tinggi,,
38,Penyiraman Air Keras terhadap Aktivis KontraS Andrie Yunus,"Empat anggota BAIS TNI, termasuk Kapten Nandala Dwi Prasetyo, mengaku terlibat dalam penyiraman air keras terhadap aktivis KontraS Andrie Yunus. Mereka mengaku melakukan aksi tersebut karena kesal terhadap video interupsi Andrie Yunus dalam rapat pembahasan RUU TNI tahun 2025. Dalam persidangan, ter",Hukum & keamanan;Politik & pemerintahan;Sosial & masyarakat,Tinggi,,
43,"Perang Ukraina dan Iran: Putin, Trump, dan Hegseth dalam Kompromi yang Kompleks","Perang Ukraina dan Iran menjadi fokus perhatian dunia, dengan Putin dan Trump berbicara tentang kemungkinan perdamaian, sementara Hegseth dihadapkan pada kritik atas biaya perang yang membengkak. Namun, perang Iran masih berlanjut, dengan AS mempertimbangkan untuk meluncurkan operasi militer baru, '",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
855,Perempuan di Indonesia Menghadapi Berbagai Tantangan,"Perempuan di Indonesia menghadapi berbagai tantangan dalam kehidupan sehari-hari, mulai dari dilema finansial, tekanan sosial, hingga tantangan dalam menjalankan peran sebagai ibu dan istri. Banyak perempuan yang mengalami depresi, kehilangan semangat hidup, dan mengasingkan diri dari dunia luar. Ke",Ekonomi & bisnis;Kesehatan;Sosial & masyarakat,Tinggi,,
531,Peristiwa Kekerasan dan Kecelakaan Lalu Lintas di Berbagai Wilayah,"Peristiwa kekerasan terjadi di Gowa, Sulawesi Selatan, ketika seorang siswi diserang oleh teman-temannya. Sementara itu, di Cibubur, seorang pengemudi mobil diancam ditembak oleh pengemudi lain karena klakson. Di sisi lain, mobil MG5 terbakar di Tiongkok tanpa korban jiwa. Korlantas Polri juga melak",Ekonomi & bisnis;Hukum & keamanan;Sosial & masyarakat,Tinggi,,
533,"Rupiah Melemah, Ekonomi Indonesia Menghadapi Ketergantungan Luar","Rupiah melemah terus, membuat pemerintah mencoba menenangkan keadaan. Namun, di baliknya ada struktur ekonomi yang rapuh dan ketergantungan impor yang besar. Sementara itu, konflik antara Amerika Serikat dan Iran membuat Board of Peace (BoP) terabaikan. Di sisi lain, Sarwendah dituding melakukan pes",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
765,TPST Bantargebang: Penghasil Metana Terbesar Kedua di Dunia,TPST Bantargebang di Bekasi menjadi sorotan internasional karena menjadi penghasil metana terbesar kedua di dunia. Metana ini dihasilkan dari proses pembusukan sampah organik yang tidak terkontrol. Pemerintah DKI Jakarta berusaha mengatasi masalah ini dengan memberikan insentif kepada RW yang berhas,Ekonomi & bisnis;Energi & lingkungan;Sosial & masyarakat,Tinggi,,
1009,Obligasi Daerah Dibahas sebagai Solusi Tekanan Fiskal,"Pemerintah daerah di Indonesia sedang membahas obligasi daerah sebagai solusi untuk mengatasi tekanan fiskal. Gubernur Sumatera Selatan Herman Deru menyambut positif gagasan ini, yang dapat membantu daerah memenuhi target pembangunan. Sektor perbankan juga siap menyerap instrumen obligasi daerah ini",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
2482,Pemerintah Siap Membangun Sekolah Nasional Terintegrasi,"Pemerintah siap membangun 100 Sekolah Nasional Terintegrasi pada 2026 sebagai upaya pemerataan pendidikan. Menteri Pendidikan Dasar dan Menengah Abdul Mu'ti mengungkapkan bahwa pemerintah telah memilih 36 sekolah yang akan menjadi Sekolah Nasional Terintegrasi. Selain itu, pemerintah juga akan menin",Ekonomi & bisnis;Pendidikan;Politik & pemerintahan,Tinggi,,
494,Pemerintah DKI Jakarta dan Polda Metro Jaya Integrasi CCTV untuk Meningkatkan Keamanan,Pemerintah DKI Jakarta dan Polda Metro Jaya akan mengintegrasikan ribuan kamera pengawas (CCTV) dari berbagai fasilitas publik dan gedung bertingkat di Jakarta ke dalam satu sistem pengawasan bersama. Integrasi ini diharapkan dapat memperluas jangkauan pemantauan situasi keamanan dan ketertiban masy,Hukum & keamanan;Politik & pemerintahan;Teknologi,Tinggi,,
2077,Prabowo Beri Nasihat kepada Siswa Korban Bullying,"Presiden Prabowo Subianto memberi nasihat kepada seorang siswa Sekolah Rakyat Menengah Pertama (SRMP) 17 Tabanan, Bali, yang mengaku pernah menjadi korban perundungan atau bullying. Prabowo mengatakan ejekan tak seharusnya membuat seseorang kehilangan semangat atau merasa rendah diri dan membalas pe",Pendidikan;Politik & pemerintahan;Sosial & masyarakat,Rendah,,
1319,Indonesia Menghadapi Tantangan dalam Mengembangkan Ekonomi Halal dan Pelayanan Haji,"Indonesia menghadapi tantangan dalam mengembangkan ekonomi halal dan pelayanan haji. Meskipun Indonesia menempati peringkat pertama dunia untuk sektor modest fashion, peringkat ketiga untuk halal food dan media & recreation, serta peringkat keempat untuk halal pharmaceuticals dan halal cosmetics, na",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Sedang,,
3194,Kemkomdigi Tegaskan Perlindungan Anak di Ruang Digital,Kementerian Komunikasi dan Digital (Kemkomdigi) menegaskan pentingnya perlindungan anak di ruang digital. Mereka mengingatkan orang tua untuk dampingi anak saat mengakses teknologi guna mencegah berbagai risiko di ruang digital. Kemkomdigi juga menerapkan Peraturan Pemerintah Nomor 17 Tahun 2025 ten,Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Sedang,,
3703,KPK Tidak Ajukan Banding Vonis Noel Ebenezer dalam Kasus Korupsi K3,"Komisi Pemberantasan Korupsi (KPK) tidak mengajukan banding atas putusan Majelis Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) Jakarta Pusat terhadap mantan Wakil Menteri Ketenagakerjaan, Immanuel Ebenezer Gerungan atau Noel. KPK menyatakan menerima sepenuhnya putusan Majelis Hakim dalam perkara ",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
2038,Pramono Mencegah Pulau Sampah di Muara Angke,"Gubernur DKI Jakarta Pramono Anung memerintahkan pembersihan rutin di kawasan Muara Angke untuk mencegah terulangnya fenomena pulau sampah. Pramono juga menjelaskan bahwa sedimentasi dan penumpukan sampah di Muara Angke bukanlah fenomena baru, karena kawasan tersebut merupakan titik akhir aliran sej",Energi & lingkungan;Politik & pemerintahan;Sosial & masyarakat,Tinggi,,
1364,Prabowo Subianto Tegaskan Tidak Ada Pengecualian bagi Koruptor,"Presiden Prabowo Subianto menegaskan tidak ada pengecualian bagi koruptor, setelah mantan Kepala Badan Gizi Nasional (BGN) Dadan Hindayana ditetapkan sebagai tersangka korupsi Program Makan Bergizi Gratis (MBG). Prabowo juga mengungkapkan kekecewaannya atas korupsi yang dilakukan oleh Dadan, yang pe",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
2876,"Ledakan di Kapal Aceh Hebat 2, 14 Orang Luka Bakar","Ledakan terjadi di kapal Aceh Hebat 2 saat bersandar di Pelabuhan Ulee Lheu, Banda Aceh. Akibatnya, 14 orang mengalami luka bakar dan dirawat di RSU Zainoel Abidin. Penyebab ledakan masih belum diketahui.",Ekonomi & bisnis;Hukum & keamanan;Kesehatan,Tinggi,,
2854,Piala Dunia 2026: Inspirasi dan Antusiasme Masyarakat,"Piala Dunia 2026 telah dimulai dengan antusiasme masyarakat yang meningkat. LKBN Antara mengajak masyarakat untuk menjadikan tayangan Piala Dunia sebagai sumber inspirasi bagi generasi muda. Sementara itu, Polda Sumsel memperkuat kemitraan dengan masyarakat melalui kegiatan nonton bareng Piala Dunia",Ekonomi & bisnis;Olahraga & hiburan;Sosial & masyarakat,Tinggi,,
2692,Kemenag Gelar Berbagai Program Sosial dan Keagamaan untuk Masyarakat,"Kemenag menggelar program sosial dan keagamaan untuk menyambut Tahun Baru Islam 1448 H. Program ini mencakup Lebaran Yatim dan Disabilitas, nikah massal, khataman Al Quran, dan gerakan bersih-bersih masjid. Selain itu, Pemkab Kapuas menyambut kedatangan 53 jamaah haji yang tiba di Embarkasi Syamsudi",Ekonomi & bisnis;Politik & pemerintahan;Sosial & masyarakat,Sedang,,
1330,"Rupiah Melemah, Pemerintah Yakin Ekonomi Indonesia Kuat","Nilai tukar rupiah terus melemah terhadap dolar AS, mencapai Rp 18.000 per dolar AS. Pemerintah melalui Menteri Sekretaris Negara Prasetyo Hadi menyatakan bahwa fundamental ekonomi Indonesia tetap kuat, tergambar dari pertumbuhan ekonomi dan inflasi yang terkendali. Namun, pemerintah juga berkoordin",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
2655,Pemadaman Listrik Bergilir di Berbagai Wilayah,"Pemadaman listrik bergilir terjadi di berbagai wilayah di Indonesia, termasuk Jakarta, Garut, dan lain-lain. Menurut Menteri ESDM Bahlil Lahadalia, pemadaman listrik bukan disebabkan oleh kelangkaan batu bara, melainkan oleh kendala teknis pada mesin pembangkit. Pemerintah bersama PLN sedang melakuk",Ekonomi & bisnis;Energi & lingkungan;Politik & pemerintahan,Tinggi,,
2889,Kanada Menghadapi Bosnia dan Herzegovina di Piala Dunia 2026,"Pertandingan pembuka Grup B Piala Dunia 2026 akan melihat Kanada menghadapi Bosnia dan Herzegovina. Timnas Kanada dipastikan tidak akan diperkuat kapten mereka, Alphonso Davies, karena cedera hamstring. Sementara itu, Bosnia dan Herzegovina datang dengan semangat pantang menyerah dan kekuatan tim mu",Ekonomi & bisnis;Hubungan internasional;Olahraga & hiburan,Tinggi,,
2853,Eks Presiden Korsel Divonis 30 Tahun Penjara atas Kasus Drone ke Korut,Pengadilan Korea Selatan menjatuhkan hukuman 30 tahun penjara kepada mantan presiden Yoon Suk Yeol karena memerintahkan penyerangan dengan pesawat tanpa awak atau drone ke Korea Utara. Instruksi Yoon Suk Yeol itu dianggap meningkatkan ketegangan lintas batas dan menciptakan dalih untuk memberlakukan,Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
241,Ekonomi Indonesia Menghadapi Perubahan Besar,"IndoBuildTech Expo Part 1 akan digelar kembali pada 8-12 Juli 2026 di ICE BSD City. Pameran ini akan menampilkan inovasi produk dan teknologi terkini dalam bidang konstruksi, interior, dan arsitektur. Sementara itu, pemerintah Kabupaten Bogor mendukung langkah Gubernur Jawa Barat untuk melibatkan ak",Ekonomi & bisnis;Politik & pemerintahan;Teknologi,Tinggi,,
1997,FIFA Menghadapi Kontroversi di Piala Dunia 2026,"FIFA menghadapi kontroversi di Piala Dunia 2026 dengan kebijakan larangan vuvuzela dan botol minum isi ulang. Namun, FIFA kemudian melonggarkan aturan tersebut setelah mendapat kritik dari berbagai pihak. Piala Dunia 2026 diprediksi sepi penonton karena mayoritas penggemar sepakbola butuh visa untuk",Ekonomi & bisnis;Olahraga & hiburan;Politik & pemerintahan,Tinggi,,
2650,Amerika Serikat dan Iran Menghadapi Krisis Diplomatik,"Presiden Amerika Serikat Donald Trump mengancam akan menyerang Iran dan merebut Pulau Kharg, pusat urat nadi ekonomi Iran. Namun, setelah pembicaraan dengan pemimpin negara-negara Teluk dan Asia Selatan, Trump membatalkan serangan tersebut. Iran meningkatkan status siaga dan memperketat pertahanan d",Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
